Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Prediction
2652,1758720,2,2,-1,3,1,109
2652,1758720,2,2,0,4,0,2
2825,1759025,2,2,0,4,0,35
16312,1758720,5,4,0,5,0,81
16166,1758720,5,4,-1,0,1,109
20401,1758720,5,4,0,5,0,81
21821,1758274,5,3,0,0,0,81
2312,1758720,5,4,-3,7,1,109
14895,1758720,5,4,0,5,0,81
20401,1758720,5,4,0,5,0,81
3134,1758720,5,4,-2,0,1,81
16312,1758720,5,4,0,5,0,81
15559,1758720,5,4,0,5,0,81
2852,1758274,5,3,0,0,0,81
16312,1758720,5,3,0,5,0,81
1961,1758274,5,3,0,0,0,81
16312,1758720,5,4,0,5,0,81
2999,1758720,5,4,-1,3,1,109
15559,1758720,5,4,0,5,0,81
20401,1758720,5,4,0,5,0,81
16166,1758720,5,4,-1,0,1,109
21821,1758274,5,3,0,0,0,81
2652,1758720,2,4,0,4,0,2
2652,1758720,2,4,-2,0,1,81
2216,1758720,2,4,-3,7,1,109
2652,1758720,2,4,-2,3,1,81
15559,1758720,5,4,0,5,0,81
3134,1758720,5,4,0,4,0,2
2852,1758274,5,3,0,0,0,81
21325,1768790,5,4,-1,3,1,109
14728,1752621,5,4,-1,4,1,109
20609,1758720,5,3,-1,3,1,81
20609,1758720,5,3,-1,0,0,81
1961,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,0,0,81
20401,1758720,5,3,0,5,0,81
2852,1758274,5,3,0,0,0,81
2999,1758720,5,4,0,4,0,2
15473,1758720,5,4,0,5,0,81
3134,1758720,5,4,-2,3,1,81
1955,1752621,5,4,-2,0,0,81
2451,1752621,5,3,0,4,0,81
14728,1752621,5,4,-1,3,1,109
14728,1752621,5,4,-1,3,1,109
15467,1752621,5,4,-2,3,1,81
2753,1752621,5,4,-2,3,1,81
14728,1752621,5,4,-1,4,1,109
21618,1768790,5,4,-1,0,0,109
21483,1768790,5,4,-1,0,0,109
21378,1768790,5,4,-1,0,0,109
21821,1758274,5,3,0,0,0,81
21618,1768790,5,4,-1,0,0,109
21483,1768790,5,4,-1,0,0,109
21483,1768790,5,4,-1,0,0,109
20351,1758274,5,3,0,0,0,81
2002,1752621,5,4,0,4,0,81
20401,1758720,5,3,0,5,0,81
20351,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,3,1,81
2451,1752621,5,3,0,4,0,81
3024,1758274,5,3,0,0,0,81
3024,1758274,5,3,0,0,0,81
20401,1758720,5,3,0,5,0,81
20609,1758720,5,3,-1,3,1,81
3024,1758274,5,3,0,0,0,81
3024,1758274,5,3,0,0,0,3
3024,1758274,5,3,0,0,0,81
1955,1752621,5,4,-2,3,1,81
20609,1758720,5,3,-1,0,0,81
15467,1752621,5,4,-2,0,0,81
2753,1752621,5,4,-2,0,0,81
2451,1752621,5,4,-1,0,0,109
2209,1752621,5,4,-2,0,0,81
2209,1752621,5,4,-2,3,1,81
21821,1758274,5,3,0,0,0,81
14728,1752621,5,4,-1,4,1,109
21483,1768790,5,3,0,0,0,3
3189,1758720,5,4,-3,7,1,109
14895,1758720,5,4,0,5,0,81
20401,1758720,5,4,0,5,0,81
1954,1758720,5,4,-3,7,1,109
16312,1758720,5,4,0,5,0,81
15559,1758720,5,4,0,5,0,81
20401,1758720,5,4,0,5,0,81
16312,1758720,5,4,0,5,0,81
2535,1758720,5,4,0,5,0,81
14895,1758720,5,4,0,5,0,81
14728,1752621,5,4,-1,4,1,109
14728,1752621,5,4,-1,4,1,109
14728,1752621,5,4,-1,4,1,109
20401,1758720,5,3,0,5,0,81
2451,1752621,5,2,0,0,0,3
20351,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,3,1,81
20609,1758720,5,3,-1,0,0,81
20609,1758720,5,3,-1,0,0,81
21821,1758274,5,3,0,0,0,81
21618,1768790,5,3,0,0,0,3
20351,1758274,5,3,0,0,0,81
14895,1758720,5,3,0,5,0,81
20609,1758720,5,3,-1,3,1,81
20609,1758720,5,3,-1,0,0,81
20351,1758274,5,3,0,0,0,81
1961,1758274,5,3,0,0,0,81
2007,1758274,5,3,0,0,0,81
2852,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
2852,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
14728,1752621,5,3,0,4,0,2
19703,1768790,5,2,0,4,0,2
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,3
2712,1758720,5,2,0,4,0,2
2847,1758274,5,3,0,0,0,81
2852,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
2699,1752621,5,2,0,0,0,3
16166,1758720,5,3,0,0,0,3
21483,1768790,5,3,0,0,0,3
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
19525,1768790,5,2,0,4,0,2
15559,1758720,5,3,0,5,0,81
21821,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,0,0,3
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
2374,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
20401,1758720,5,3,0,5,0,81
20351,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
15559,1758720,5,3,0,5,0,81
21640,1759117,5,2,0,3,0,13
20351,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,4,0,81
20351,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
2847,1758274,5,3,0,0,0,81
2967,1758720,5,2,0,4,0,35
1961,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,0,0,81
15559,1758720,5,3,0,5,0,81
16312,1758720,5,3,0,5,0,81
2852,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,4,0,81
20351,1758274,5,3,0,0,0,81
21483,1768790,5,3,0,0,0,3
2852,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
2847,1758274,5,3,0,0,0,81
3134,1758720,5,2,-1,3,1,109
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
14895,1758720,5,3,0,5,0,81
15467,1752621,5,3,-1,3,1,109
20351,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,0,0,81
20609,1758720,5,3,-1,0,0,81
3028,1752621,5,3,0,4,0,81
16312,1758720,5,3,0,5,0,81
14728,1752621,5,3,0,5,0,2
2267,1758720,5,2,0,4,0,2
2852,1758274,5,3,0,0,0,81
2847,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,3,1,81
2732,1759025,5,3,0,6,0,2
20609,1758720,5,3,-1,0,0,81
2451,1752621,5,3,0,4,0,3
2852,1758274,5,3,0,0,0,81
21483,1768790,5,3,0,0,0,3
21821,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,3,1,81
21821,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
3018,1758274,5,3,0,0,0,3
14728,1752621,5,3,0,5,0,2
16120,1759117,5,3,0,5,0,2
16312,1758720,5,3,0,5,0,81
2847,1758274,5,3,0,0,0,81
16312,1758720,5,3,0,5,0,81
14895,1758720,5,3,0,5,0,81
15559,1758720,5,3,0,5,0,81
20609,1758720,5,3,-1,3,1,81
2535,1758720,5,3,0,5,0,81
21821,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,3
20609,1758720,5,3,-1,0,0,81
21640,1759117,5,2,0,3,0,13
2002,1752621,5,3,0,4,0,81
2852,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
2846,1758720,5,3,0,0,0,3
20351,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,0,0,81
2077,1758720,5,3,0,3,0,2
1955,1752621,5,3,-1,3,1,109
20351,1758274,5,3,0,0,0,81
20609,1758720,5,3,-1,0,0,81
2847,1758274,5,3,0,0,0,81
2451,1752621,5,2,0,4,0,2
15473,1758720,5,3,0,5,0,81
20351,1758274,5,3,0,0,0,81
3018,1758274,5,3,0,0,0,81
21821,1758274,5,3,0,0,0,81
3024,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,81
3134,1758720,5,2,0,4,0,2
2773,1759025,5,2,0,4,0,35
2773,1759025,5,2,0,4,0,35
2773,1759025,5,2,0,4,0,35
2773,1759025,5,2,0,4,0,35
2773,1759025,5,2,0,4,0,35
2701,1759025,5,2,0,4,0,35
20351,1758274,5,2,-1,3,1,109
20351,1758274,5,2,-1,3,1,35
3018,1758274,5,2,0,4,0,35
21821,1758274,5,2,0,4,0,81
2852,1758274,5,2,0,4,0,35
3024,1758274,5,2,-1,3,1,109
20351,1758274,5,2,0,4,0,2
1961,1758274,5,2,0,0,0,81
2374,1758274,5,2,0,0,0,81
2847,1758274,5,2,0,0,0,81
2852,1758274,5,2,0,0,0,81
3024,1758274,5,2,0,0,0,81
3017,1758274,5,4,-28,-24,1,109
22334,1759025,5,4,-1,0,0,109
22334,1759025,5,4,-1,0,0,109
2829,1752621,5,1,0,4,0,10
2732,1759025,5,3,0,7,0,27
20790,1752621,6,4,0,4,0,81
20791,1759025,6,3,0,4,0,2
20790,1752621,6,3,0,4,0,81
3717,1759025,15,4,-1,3,1,2
21326,1768790,15,4,-1,3,1,109
3480,1752621,15,4,-2,0,0,81
3721,1759117,15,2,0,3,0,13
3297,1758720,15,4,0,0,0,109
3418,1758720,15,4,0,0,0,109
15468,1752621,15,4,-2,0,0,81
21484,1768790,15,4,-1,0,0,109
21484,1768790,15,4,-1,0,0,109
21484,1768790,15,4,-1,0,0,109
21619,1768790,15,4,-1,0,0,109
21484,1768790,15,4,-1,0,0,109
21379,1768790,15,4,-1,0,0,109
21484,1768790,15,4,-1,0,0,109
3690,1758274,15,3,0,0,0,3
20353,1758274,15,3,0,0,0,81
3209,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
21484,1768790,15,2,0,0,0,3
20353,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
3545,1752621,15,2,0,0,0,3
3690,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,3,1,81
21619,1768790,15,3,0,0,0,3
21823,1758274,15,3,0,0,0,81
3613,1758720,15,2,0,4,0,2
21823,1758274,15,3,0,0,0,81
3374,1758274,15,3,0,0,0,81
3588,1758274,15,3,0,0,0,3
14723,1752621,15,3,0,5,0,2
3683,1758720,15,3,0,5,0,81
20353,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,3,1,81
20353,1758274,15,3,0,0,0,81
3545,1752621,15,2,0,0,0,3
21823,1758274,15,3,0,0,0,81
15554,1758720,15,4,0,5,0,81
3558,1758274,15,3,0,0,0,81
20353,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,81
21823,1758274,15,3,0,0,0,3
20610,1758720,15,3,-1,3,1,81
3690,1758274,15,3,0,0,0,81
20410,1758720,15,3,0,5,0,81
3558,1758274,15,3,0,0,0,81
20610,1758720,15,3,-1,0,0,81
20610,1758720,15,3,-1,0,0,81
15164,1758720,15,3,0,5,0,81
3545,1752621,15,3,0,4,0,3
21484,1768790,15,3,0,0,0,3
3480,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,4,1,109
3264,1752621,15,4,-2,0,0,81
14723,1752621,15,4,-1,4,1,109
3719,1752621,15,4,-2,0,0,81
3719,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,4,1,109
3264,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,3,1,109
3545,1752621,15,4,-1,0,0,109
3707,1752621,15,4,0,4,0,81
14723,1752621,15,4,-1,4,1,109
15468,1752621,15,4,-2,3,1,81
14723,1752621,15,4,-1,4,1,109
14723,1752621,15,4,-1,3,1,109
14723,1752621,15,4,-1,4,1,109
3595,1758720,15,4,-3,7,1,109
20410,1758720,15,4,0,5,0,81
14894,1758720,15,4,0,5,0,81
3651,1758720,15,4,-3,7,1,109
20410,1758720,15,4,0,5,0,81
15554,1758720,15,4,0,5,0,81
16167,1758720,15,4,-1,0,1,109
16306,1758720,15,4,0,5,0,81
16306,1758720,15,4,0,5,0,81
20410,1758720,15,4,0,5,0,81
15554,1758720,15,4,0,5,0,81
14894,1758720,15,4,0,5,0,81
3412,1758720,15,4,-3,7,1,109
3683,1758720,15,4,0,5,0,81
